Insurance_Company,Year_int,Total_Coverage_Sum,Patient_Count,Avg_Treatment_Cost,Avg_Coverage_Pct,Avg_Claim_Amount,Avg_Age,Avg_Length_of_Stay,Avg_Medications,Avg_Admission_Count,Claim_Approved_Rate,Coverage_Growth_Lag1,Coverage_Growth_Lag2,Patient_Count_Growth,Target_Next_Coverage
AXA,2021,8025919.142241855,1150,8929.652005942988,0.7815844126470897,6979.06012368857,53.876942898974214,7.553887524247826,2.1993857669469565,2.296612669144348,0.8773913043478261,,,,8982592.207436621
AXA,2022,8982592.207436621,1196,9549.125117919584,0.7865151716720067,7510.528601535637,54.720424786105184,7.452693720049331,2.2152826185334447,2.290953215994147,0.8837792642140468,11.91979445892526,,4.0000000000000036,9963140.309870888
AXA,2023,9963140.309870888,1243,10125.19637791506,0.7916126102191172,8015.398479381245,53.58571824338083,7.620499967450523,2.1823724948736927,2.222818572435237,0.8817377312952535,10.916092813636546,24.13706309889281,3.9297658862876172,11694410.188146915
AXA,2024,11694410.188146915,1293,11339.90638552699,0.7975838705089147,9044.400764228087,53.64811636825525,7.325192809107502,2.140904269268368,2.336338456921114,0.8723897911832946,17.376748940901578,30.189703796919567,4.022526146419958,12222651.574232528
AXA,2025,12222651.574232528,1345,11308.9647408805,0.8035889621467576,9087.473289392214,53.99167329096616,7.145481239580668,2.19800825283197,2.3003316798208178,0.8780669144981412,4.517041711270076,22.678705649894848,4.021655065738594,13283142.30782436
AXA,2026,13283142.30782436,1399,11728.141847367135,0.8095408146927001,9494.740748980958,54.2724297970045,7.35876249019514,2.21169167305361,2.3597680431179415,0.8913509649749821,8.676437572903817,13.585397588394276,4.014869888475836,
Allianz,2021,6504360.490505256,1200,7727.566348009929,0.7014239480832167,5420.3004087543795,55.77306268467962,7.3987131318133335,2.1723239146691666,2.26240602654,0.8708333333333333,,,,7371234.250766591
Allianz,2022,7371234.250766591,1245,8381.470220564763,0.7063575338806383,5920.670080937021,53.88524374320772,7.420736163432933,2.2213455040883536,2.3000633857646586,0.8658634538152611,13.327578653224315,,3.750000000000009,8202664.763867954
Allianz,2023,8202664.763867954,1292,8922.70852804208,0.7115383396789374,6348.811736739903,53.478644371339186,7.350424226993808,2.1436409480456655,2.3881995214651703,0.8660990712074303,11.279393447778375,26.110242134361993,3.775100401606424,8985403.234495098
Allianz,2024,8985403.234495098,1342,9333.187265094426,0.7174103806681147,6695.531471307822,53.718377070146765,7.687909609517138,2.276874068599851,2.3653503516877796,0.8949329359165424,9.542490070727272,21.89821851829816,3.8699690402476783,9981120.043372607
Allianz,2025,9981120.043372607,1393,9905.507868053839,0.7233731474334666,7165.197446785791,55.01472025670603,7.577532270144293,2.1821750730897342,2.2947101515872217,0.8786791098348887,11.081492759890143,21.681433176918286,3.8002980625931437,10905768.864023248
Allianz,2026,10905768.864023248,1445,10346.121589481769,0.7294318913142596,7547.244888597404,53.578296642778646,7.535155241575778,2.173145391653287,2.3245013773411762,0.885121107266436,9.263978557843334,21.372058430898644,3.732950466618812,
Bupa,2021,10873231.371751782,1275,10254.688649538444,0.8316046860374193,8528.024605295515,53.963292810558116,7.34193156992,2.2995732801364706,2.3213902419403922,0.8878431372549019,,,,12473949.464143319
Bupa,2022,12473949.464143319,1328,11211.875148521853,0.8377547321602966,9393.03423504768,53.64134260150768,7.742259941668675,2.2905163290135544,2.2636163306445782,0.8840361445783133,14.721641043619638,,4.156862745098033,14214563.761986291
Bupa,2023,14214563.761986291,1384,12188.986069556791,0.842619888663047,10270.638556348476,54.62821755925348,7.606246373145232,2.264832547865607,2.340161633767341,0.9039017341040463,13.953995106733519,30.729893221210737,4.216867469879526,15596252.12596908
Bupa,2024,15596252.12596908,1442,12742.695817927894,0.8487690162921534,10815.708825221276,54.801043351697565,7.467315350650485,2.246477749929958,2.374076938147018,0.8751733703190014,9.720230512299,25.030586109081952,4.190751445086716,17288597.692443423
